name,email,class_,profile_url,newbie_completed,intro_completed,regular_completed,certificates
student1,student1@pybites.org,Period 1,https://codechalleng.es/profiles/student1,25,10,5,
student2,student2@pybites.org,Period 1,https://codechalleng.es/profiles/student2,25,10,5,
student3,student3@pybites.org,Period 1,https://codechalleng.es/profiles/student3,25,10,4,
student4,student4@pybites.org,Period 1,https://codechalleng.es/profiles/student4,25,3,1,
student5,student5@pybites.org,Period 1,https://codechalleng.es/profiles/student5,24,0,1,
student6,student6@pybites.org,Period 1,https://codechalleng.es/profiles/student6,19,9,1,
student7,student7@pybites.org,Period 1,https://codechalleng.es/profiles/student7,17,3,3,
student8,student8@pybites.org,Period 1,https://codechalleng.es/profiles/student8,23,2,1,
student9,student9@pybites.org,Period 1,https://codechalleng.es/profiles/student9,24,8,2,
student10,student10@pybites.org,Period 1,https://codechalleng.es/profiles/student10,25,6,3,
student11,student11@pybites.org,Period 1,https://codechalleng.es/profiles/student11,24,8,2,
student12,student12@pybites.org,Period 1,https://codechalleng.es/profiles/student12,25,10,5,
student13,student13@pybites.org,Period 1,https://codechalleng.es/profiles/student13,24,0,0,
student14,student14@pybites.org,Period 1,https://codechalleng.es/profiles/student14,24,2,1,
student15,student15@pybites.org,Period 1,https://codechalleng.es/profiles/student15,25,5,3,
student16,student16@pybites.org,Period 1,https://codechalleng.es/profiles/student16,24,10,2,
student17,student17@pybites.org,Period 1,https://codechalleng.es/profiles/student17,24,10,3,
student18,student18@pybites.org,Period 1,https://codechalleng.es/profiles/student18,24,7,1,
student19,student19@pybites.org,Period 1,https://codechalleng.es/profiles/student19,25,10,0,
student20,student20@pybites.org,Period 1,https://codechalleng.es/profiles/student20,25,10,4,
student21,student21@pybites.org,Period 1,https://codechalleng.es/profiles/student21,19,0,0,
student22,student22@pybites.org,Period 1,https://codechalleng.es/profiles/student22,1,0,0,
student23,student23@pybites.org,Period 2,https://codechalleng.es/profiles/student23,25,10,0,
student24,student24@pybites.org,Period 2,https://codechalleng.es/profiles/student24,25,10,5,
student25,student25@pybites.org,Period 2,https://codechalleng.es/profiles/student25,25,10,5,
student26,student26@pybites.org,Period 2,https://codechalleng.es/profiles/student26,25,10,5,
student27,student27@pybites.org,Period 2,https://codechalleng.es/profiles/student27,25,6,0,
student28,student28@pybites.org,Period 2,https://codechalleng.es/profiles/student28,24,10,5,
student29,student29@pybites.org,Period 2,https://codechalleng.es/profiles/student29,25,10,5,
student30,student30@pybites.org,Period 2,https://codechalleng.es/profiles/student30,25,6,0,
student31,student31@pybites.org,Period 2,https://codechalleng.es/profiles/student31,25,5,0,
student32,student32@pybites.org,Period 2,https://codechalleng.es/profiles/student32,25,10,5,
student33,student33@pybites.org,Period 2,https://codechalleng.es/profiles/student33,25,10,0,
student34,student34@pybites.org,Period 2,https://codechalleng.es/profiles/student34,25,10,5,
student35,student35@pybites.org,Period 2,https://codechalleng.es/profiles/student35,24,5,5,
student36,student36@pybites.org,Period 2,https://codechalleng.es/profiles/student36,25,5,5,
student37,student37@pybites.org,Period 2,https://codechalleng.es/profiles/student37,24,7,6,
student38,student38@pybites.org,Period 2,https://codechalleng.es/profiles/student38,25,5,0,
student39,student39@pybites.org,Period 2,https://codechalleng.es/profiles/student39,24,10,0,
student40,student40@pybites.org,Period 2,https://codechalleng.es/profiles/student40,25,10,2,
student41,student41@pybites.org,Period 2,https://codechalleng.es/profiles/student41,25,0,0,
student42,student42@pybites.org,Period 2,https://codechalleng.es/profiles/student42,25,0,0,
